category_full,category_level_1,category_level_2,category_level_3,category_level_4,category_id
Incidents/Matériel/Informatiques/Clavier,Incidents,Matériel,Informatiques,Clavier,1
Incidents/Portail,Incidents,Portail,,,2
Incidents/Systéme/Windows/Probléme de connexion,Incidents,Systéme,Windows,Probléme de connexion,3
Incidents/Réseau/Wifi,Incidents,Réseau,Wifi,,4
Incidents/Application métier/Legacy/Probléme de connexion,Incidents,Application métier,Legacy,Probléme de connexion,5
Incidents/Sécurité/MFA/Utilisation,Incidents,Sécurité,MFA,Utilisation,6
Incidents/Application métier/Avensys/Problème de connexion,Incidents,Application métier,Avensys,Problème de connexion,7
Incidents/Application métier/Ringover/Problème de connexion,Incidents,Application métier,Ringover,Problème de connexion,8
"Incidents/Logiciel Bureautique/Office365/PackOffice(Word,Excel,PowerPoint ...)",Incidents,Logiciel Bureautique,Office365,"PackOffice(Word,Excel,PowerPoint ...)",9
Incidents/Application métier/ITEX/Dysfonctionnement,Incidents,Application métier,ITEX,Dysfonctionnement,10
Incidents/Matériel/Informatiques/PC-Portable/Dysfonctionnement,Incidents,Matériel,Informatiques,PC-Portable,11
Incidents/Sécurité/MFA/Dysfonctionnement,Incidents,Sécurité,MFA,Dysfonctionnement,12
Incidents/Systéme/Windows/Logiciel/VPN/Probléme de connexion,Incidents,Systéme,Windows,Logiciel,13
Incidents/Systéme/Windows/Dysfonctionnement,Incidents,Systéme,Windows,Dysfonctionnement,14
Incidents/Logiciel Bureautique/PDF-Exchange/Dysfonctionnement,Incidents,Logiciel Bureautique,PDF-Exchange,Dysfonctionnement,15
Incidents/Sécurité/MFA/Probléme de connexion,Incidents,Sécurité,MFA,Probléme de connexion,16
Incidents/Matériel/Informatiques/Écran,Incidents,Matériel,Informatiques,Écran,17
Incidents/Application métier/MICROSOFT DYNAMICS AX,Incidents,Application métier,MICROSOFT DYNAMICS AX,,18
Incidents/Sécurité/Filtrage URL,Incidents,Sécurité,Filtrage URL,,19
Incidents/Logiciel Bureautique/Office365/Outlook,Incidents,Logiciel Bureautique,Office365,Outlook,20
Incidents/Réseau/Mobile/Carte data,Incidents,Réseau,Mobile,Carte data,21
Incidents/Application métier/ITEX MOBILE/Dysfonctionnement,Incidents,Application métier,ITEX MOBILE,Dysfonctionnement,22
Incidents/Systéme/Windows Serveur/Pb de connexion,Incidents,Systéme,Windows Serveur,Pb de connexion,23
Incidents/Application métier/Ringover/Dysfonctionnement,Incidents,Application métier,Ringover,Dysfonctionnement,24
Incidents/Logiciel Bureautique/Office365/Sharepoint,Incidents,Logiciel Bureautique,Office365,Sharepoint,25
Incidents/Application métier/ITEX MOBILE/Problème de connexion,Incidents,Application métier,ITEX MOBILE,Problème de connexion,26
Incidents/Application métier/Expensya/Pb de connexion,Incidents,Application métier,Expensya,Pb de connexion,27
Incidents/Matériel/Informatiques/Tablette/Dysfonctionnement,Incidents,Matériel,Informatiques,Tablette,28
Incidents/Application métier/ESKER/Dysfonctionnement,Incidents,Application métier,ESKER,Dysfonctionnement,29
Incidents/Logiciel Bureautique/Office365/Teams,Incidents,Logiciel Bureautique,Office365,Teams,30
Incidents/Application métier/SINERGIE/Problème de connexion,Incidents,Application métier,SINERGIE,Problème de connexion,31
Incidents/Systéme/Windows/Logiciel/VPN/Dysfonctionnement,Incidents,Systéme,Windows,Logiciel,32
Incidents/Matériel/Informatiques/PC-Fixe/Dysfonctionnement,Incidents,Matériel,Informatiques,PC-Fixe,33
Incidents/Application métier/ITEX/Bug Applicatif,Incidents,Application métier,ITEX,Bug Applicatif,34
Incidents/Application métier/ITEX MOBILE/Bug Applicatif,Incidents,Application métier,ITEX MOBILE,Bug Applicatif,35
Incidents/Application métier/Avensys/Bug Applicatif,Incidents,Application métier,Avensys,Bug Applicatif,36
Incidents/Application métier/MICROSOFT DYNAMICS AX/Bug Applicatif,Incidents,Application métier,MICROSOFT DYNAMICS AX,Bug Applicatif,37
Incidents/Sécurité/Alerte Sentinel,Incidents,Sécurité,Alerte Sentinel,,38
Incidents/Application métier/Sinapps/Dysfonctionnement,Incidents,Application métier,Sinapps,Dysfonctionnement,39
Incidents/Application métier/CASSIOPEE/Problème de connexion,Incidents,Application métier,CASSIOPEE,Problème de connexion,40
Incidents/Application métier/ITEX/Problème de connexion,Incidents,Application métier,ITEX,Problème de connexion,41
Incidents/Application métier/Soluce/Problème de connexion,Incidents,Application métier,Soluce,Problème de connexion,42
Incidents/Logiciel Bureautique/Office365/OneDrive,Incidents,Logiciel Bureautique,Office365,OneDrive,43
Incidents/Application métier/OPTIM/Dysfonctionnement,Incidents,Application métier,OPTIM,Dysfonctionnement,44
Incidents/Systéme/Windows Serveur/Utilisation,Incidents,Systéme,Windows Serveur,Utilisation,45
Incidents/Logiciel Bureautique/PDF-Exchange/Bug Applicatif,Incidents,Logiciel Bureautique,PDF-Exchange,Bug Applicatif,46
Incidents/Application métier/ESKER/Problème de connexion,Incidents,Application métier,ESKER,Problème de connexion,47
Incidents/Systéme/Windows/Utilisation,Incidents,Systéme,Windows,Utilisation,48
Incidents/Application métier/MICROSOFT DYNAMICS AX/Dysfonctionnement,Incidents,Application métier,MICROSOFT DYNAMICS AX,Dysfonctionnement,49
Incidents/Matériel/Informatiques/PC-Portable/Utilisation,Incidents,Matériel,Informatiques,PC-Portable,50
Incidents/Matériel/Informatiques/Station d'acceuil,Incidents,Matériel,Informatiques,Station d'acceuil,51
Incidents/Application métier/GMC Soft,Incidents,Application métier,GMC Soft,,52
Incidents/Application métier/Avensys/Dysfonctionnment,Incidents,Application métier,Avensys,Dysfonctionnment,53
Incidents/Application métier/MICROSOFT DYNAMICS AX/Problème de connexion,Incidents,Application métier,MICROSOFT DYNAMICS AX,Problème de connexion,54
Incidents/Systéme/Windows Serveur/Dysfonctionnement,Incidents,Systéme,Windows Serveur,Dysfonctionnement,55
Incidents/Application métier/ITEX/Utilisation,Incidents,Application métier,ITEX,Utilisation,56
Incidents/Systéme/Windows/Logiciel/VPN/Bug Applicatif,Incidents,Systéme,Windows,Logiciel,57
Incidents/Réseau/Cablage,Incidents,Réseau,Cablage,,58
