resolver_group,support_level,group_id
HD1_FRONT,HD1,1
HD2_SUPPORT,HD2,2
HD1_kiosqueIT,HD1,3
HD3_ITEX MOBILE/PHONE,HD3,4
HD3_BU_CORPORATE_FINANCE,HD3,5
HD3_SECURITE,HD3,6
HD3_APP_ITEX,HD3,7
HD2_MOA_EXPERTISE,HD2,8
HD3_APP_OPTIM,HD3,9
HD2_MOA_CONSTRUCTION,HD2,10
HD3_BUR / GESTION DE PARC,HD3,11
HD3_ADMIN / SYSTÈME,HD3,12
HD3_AX_EXPENSYA,HD3,13
HD3_ADMIN / POSTE DE TRAVAIL,HD3,14
Gr-Test,Other,15
HD3_APP_SALESFORCE,HD3,16
HD3_MOA PART-PRO-ENT,HD3,17
HD3_OPTIMISATION DE TOURNEES,HD3,18
HD3_GESTION PROBLEME RESEAU,HD3,19
HD3_APP_VEOS,HD3,20
HD3_ITEX & EDITIQUE,HD3,21
HD2_BLUEKANGO-CASSIOPEE,HD2,22
HD3_APP_SOLUCE,HD3,23
HD3_REPORTING,HD3,24
HD3_APP_TELEPHONIE,HD3,25
HD3_BLUEKANGO-CASSIOPEE,HD3,26
HD1_ACHAT,HD1,27
HD3_MOA CONSTRUCTION,HD3,28
HD3_LEGACY_CP2000-NETXPERT,HD3,29
HD3_SOLUCE,HD3,30
HD3_NEURONE,HD3,31
HD2_MOA_SINERGIE,HD2,32
HD3_EXTRANET / VISIO,HD3,33
HD3_VEOS,HD3,34
HD3_GREN,HD3,35
HD3 – référentiel clients,HD3,36
HD3_MOA_REPORTING,HD3,37
HD3_ADMIN_SALESFORCE_ASANA,HD3,38
HD3_BU_CORPORATE,HD3,39
HD3_CHEF_DE_PROJET,HD3,40
HD3_INTUNE,HD3,41
