ticket_type,priority,urgency,category_level_1,category_level_2,category_level_3,location,entity,service_label,origin,created_hour,created_day_of_week,is_weekend,description_length,category_level_2
Incident,4,2 - Moyenne,Incidents,Matériel,Informatiques,-,TEXA SERVICES,,Self Service,16,4,False,114,Matériel
Incident,4,2 - Moyenne,Incidents,Portail,,NANCY,TEXA,,Self Service,16,4,False,222,Portail
Incident,5,3 - Faible,Incidents,Systéme,Windows,-,PHENIX,,Téléphone,14,4,False,78,Systéme
Incident,5,3 - Faible,Incidents,Réseau,Wifi,LILLE,TEXA,,Téléphone,14,4,False,258,Réseau
Incident,5,3 - Faible,Incidents,Systéme,Windows,MONTPELLIER,TEXA SERVICES,,Téléphone,13,4,False,229,Systéme
Incident,5,3 - Faible,Incidents,Application métier,Legacy,-,CLE,,Téléphone,13,4,False,289,Application métier
Incident,5,3 - Faible,Incidents,Sécurité,MFA,-,PHENIX,,Téléphone,12,4,False,43,Sécurité
Incident,3,1 - Haute,Incidents,Portail,,-,TEXA,,Self Service,11,4,False,512,Portail
Incident,4,2 - Moyenne,Incidents,Portail,,LILLE,TEXA,,Self Service,10,4,False,263,Portail
Incident,5,3 - Faible,Incidents,Application métier,Avensys,NANTES,CLE,,Téléphone,10,4,False,305,Application métier
Incident,5,3 - Faible,Incidents,Application métier,Ringover,CAEN,TEXA,,Téléphone,10,4,False,361,Application métier
Incident,5,3 - Faible,Incidents,Systéme,Windows,-,PHENIX,,Téléphone,10,4,False,95,Systéme
Incident,3,2 - Moyenne,Incidents,Logiciel Bureautique,Office365,-,GMC,,Self Service,9,4,False,114,Logiciel Bureautique
Incident,5,3 - Faible,Incidents,Application métier,ITEX,BOURGES CNG,TEXA SERVICES,,Téléphone,9,4,False,119,Application métier
Incident,3,1 - Haute,Incidents,Matériel,Informatiques,GEOP ST-OUEN,GEOP,,Téléphone,9,4,False,1059,Matériel
Incident,4,2 - Moyenne,Incidents,Sécurité,MFA,-,TEXA,,Self Service,9,4,False,324,Sécurité
Incident,5,3 - Faible,Incidents,Systéme,Windows,PLATEFORME SUD EST,TEXA,,Téléphone,9,4,False,101,Systéme
Incident,5,3 - Faible,Incidents,Systéme,Windows,EURISK ROUEN,EURISK,,Téléphone,9,4,False,334,Systéme
Incident,5,3 - Faible,Incidents,Logiciel Bureautique,PDF-Exchange,NANTES,TEXA,,Téléphone,8,4,False,110,Logiciel Bureautique
Incident,4,2 - Moyenne,Incidents,Portail,,-,TEXA,,Self Service,9,3,False,594,Portail
