ticket_type,priority,urgency,category_level_1,category_level_2,category_level_3,location,entity,service_label,origin,created_hour,created_day_of_week,is_weekend,description_length,is_long_resolution
Incident,4,2 - Moyenne,Incidents,Matériel,Informatiques,-,TEXA SERVICES,,Self Service,16,4,False,114,False
Incident,4,2 - Moyenne,Incidents,Portail,,NANCY,TEXA,,Self Service,16,4,False,222,False
Incident,5,3 - Faible,Incidents,Systéme,Windows,-,PHENIX,,Téléphone,14,4,False,78,False
Incident,5,3 - Faible,Incidents,Systéme,Windows,MONTPELLIER,TEXA SERVICES,,Téléphone,13,4,False,229,False
Incident,5,3 - Faible,Incidents,Sécurité,MFA,-,PHENIX,,Téléphone,12,4,False,43,False
Incident,3,1 - Haute,Incidents,Portail,,-,TEXA,,Self Service,11,4,False,512,False
Incident,4,2 - Moyenne,Incidents,Portail,,LILLE,TEXA,,Self Service,10,4,False,263,False
Incident,5,3 - Faible,Incidents,Application métier,Avensys,NANTES,CLE,,Téléphone,10,4,False,305,False
Incident,5,3 - Faible,Incidents,Application métier,Ringover,CAEN,TEXA,,Téléphone,10,4,False,361,False
Incident,5,3 - Faible,Incidents,Systéme,Windows,-,PHENIX,,Téléphone,10,4,False,95,False
Incident,3,2 - Moyenne,Incidents,Logiciel Bureautique,Office365,-,GMC,,Self Service,9,4,False,114,False
Incident,5,3 - Faible,Incidents,Application métier,ITEX,BOURGES CNG,TEXA SERVICES,,Téléphone,9,4,False,119,False
Incident,4,2 - Moyenne,Incidents,Sécurité,MFA,-,TEXA,,Self Service,9,4,False,324,False
Incident,5,3 - Faible,Incidents,Systéme,Windows,PLATEFORME SUD EST,TEXA,,Téléphone,9,4,False,101,False
Incident,5,3 - Faible,Incidents,Systéme,Windows,EURISK ROUEN,EURISK,,Téléphone,9,4,False,334,False
Incident,5,3 - Faible,Incidents,Logiciel Bureautique,PDF-Exchange,NANTES,TEXA,,Téléphone,8,4,False,110,False
Incident,4,2 - Moyenne,Incidents,Portail,,-,TEXA,,Self Service,9,3,False,594,False
Incident,5,3 - Faible,Incidents,Sécurité,MFA,CLERMONT FERRAND,TEXA,,Téléphone,18,2,False,351,False
Incident,4,2 - Moyenne,Incidents,Portail,,MELUN,TEXA SERVICES,,Self Service,17,2,False,46,False
Incident,4,2 - Moyenne,Incidents,Portail,,AVIGNON,TEXA,,Self Service,17,2,False,84,False
Incident,5,3 - Faible,Incidents,Systéme,Windows,ANGERS,TEXA SERVICES,,Téléphone,16,2,False,275,False
Incident,5,3 - Faible,Incidents,Application métier,MICROSOFT DYNAMICS AX,-,TEXA,,Téléphone,16,2,False,38,False
Incident,5,3 - Faible,Incidents,Systéme,Windows,-,GMC,,Téléphone,15,2,False,164,False
Incident,3,2 - Moyenne,Incidents,Logiciel Bureautique,Office365,VALENCE,TEXA SERVICES,,Téléphone,15,2,False,608,True
Incident,4,2 - Moyenne,Incidents,Application métier,ITEX,ORLEANS,VOXENS,,Self Service,14,2,False,129,False
Incident,5,3 - Faible,Incidents,Réseau,Mobile,-,GEOP,,Téléphone,14,2,False,102,False
Incident,5,3 - Faible,Incidents,Application métier,ITEX MOBILE,ROUEN,TEXA SERVICES,,Téléphone,14,2,False,116,False
Incident,4,2 - Moyenne,Incidents,Application métier,ITEX,ORLEANS,VOXENS,,Self Service,14,2,False,324,False
Incident,4,2 - Moyenne,Incidents,Application métier,ITEX,-,TEXA,,Self Service,14,2,False,117,False
Incident,4,2 - Moyenne,Incidents,Matériel,Informatiques,-,TEXA SERVICES,,Self Service,14,2,False,389,False
Incident,4,2 - Moyenne,Incidents,Application métier,ITEX,PLATEFORME SUD EST,TEXA,,Self Service,14,2,False,29,False
Incident,4,2 - Moyenne,Incidents,Application métier,ITEX,PLATEFORME NORD EST,TEXA,,Self Service,14,2,False,124,False
Incident,3,2 - Moyenne,Incidents,Systéme,Windows Serveur,ORLEANS,VOXENS,,Self Service,14,2,False,342,False
Incident,5,3 - Faible,Incidents,Application métier,Ringover,NANCY,TEXA SERVICES,,Téléphone,12,2,False,74,False
Incident,3,2 - Moyenne,Incidents,Logiciel Bureautique,Office365,-,TEXA,,Téléphone,12,2,False,69,False
Incident,5,3 - Faible,Incidents,Sécurité,MFA,-,PHENIX,,Téléphone,12,2,False,90,False
Incident,5,3 - Faible,Incidents,Systéme,Windows,-,CLE,,Téléphone,12,2,False,203,False
Incident,5,3 - Faible,Incidents,Systéme,Windows,ROUEN,VOXENS,,Téléphone,12,2,False,38,False
Incident,3,2 - Moyenne,Incidents,Logiciel Bureautique,Office365,-,GMC,,Self Service,11,2,False,880,False
Incident,4,2 - Moyenne,Incidents,Portail,,-,EXTERNE,,Self Service,11,2,False,390,False
Incident,5,3 - Faible,Incidents,Application métier,ITEX MOBILE,-,TEXA SERVICES,,Téléphone,11,2,False,138,False
Incident,4,2 - Moyenne,Incidents,Application métier,MICROSOFT DYNAMICS AX,TROYES,TEXA,,Self Service,11,2,False,365,False
Incident,4,2 - Moyenne,Incidents,Portail,,TOULOUSE,PHENIX,,Self Service,10,2,False,617,False
