ticket_type,priority,urgency,category_level_1,category_level_2,category_level_3,location,entity,service_label,origin,created_hour,created_day_of_week,is_weekend,description_length,resolver_group
Incident,5,3 - Faible,Incidents,Systéme,Windows,-,PHENIX,,Téléphone,14,4,False,78,HD1_FRONT
Incident,5,3 - Faible,Incidents,Systéme,Windows,MONTPELLIER,TEXA SERVICES,,Téléphone,13,4,False,229,HD1_FRONT
Incident,5,3 - Faible,Incidents,Sécurité,MFA,-,PHENIX,,Téléphone,12,4,False,43,HD1_FRONT
Incident,5,3 - Faible,Incidents,Application métier,Avensys,NANTES,CLE,,Téléphone,10,4,False,305,HD1_FRONT
Incident,5,3 - Faible,Incidents,Application métier,Ringover,CAEN,TEXA,,Téléphone,10,4,False,361,HD1_FRONT
Incident,5,3 - Faible,Incidents,Systéme,Windows,-,PHENIX,,Téléphone,10,4,False,95,HD1_FRONT
Incident,3,2 - Moyenne,Incidents,Logiciel Bureautique,Office365,-,GMC,,Self Service,9,4,False,114,HD1_FRONT
Incident,5,3 - Faible,Incidents,Application métier,ITEX,BOURGES CNG,TEXA SERVICES,,Téléphone,9,4,False,119,HD1_FRONT
Incident,3,1 - Haute,Incidents,Matériel,Informatiques,GEOP ST-OUEN,GEOP,,Téléphone,9,4,False,1059,HD1_FRONT
Incident,4,2 - Moyenne,Incidents,Sécurité,MFA,-,TEXA,,Self Service,9,4,False,324,HD1_FRONT
Incident,5,3 - Faible,Incidents,Systéme,Windows,PLATEFORME SUD EST,TEXA,,Téléphone,9,4,False,101,HD1_FRONT
Incident,5,3 - Faible,Incidents,Systéme,Windows,EURISK ROUEN,EURISK,,Téléphone,9,4,False,334,HD1_FRONT
Incident,5,3 - Faible,Incidents,Logiciel Bureautique,PDF-Exchange,NANTES,TEXA,,Téléphone,8,4,False,110,HD1_FRONT
Incident,5,3 - Faible,Incidents,Sécurité,MFA,CLERMONT FERRAND,TEXA,,Téléphone,18,2,False,351,HD1_FRONT
Incident,5,3 - Faible,Incidents,Systéme,Windows,ANGERS,TEXA SERVICES,,Téléphone,16,2,False,275,HD1_FRONT
Incident,5,3 - Faible,Incidents,Systéme,Windows,-,GMC,,Téléphone,15,2,False,164,HD1_FRONT
Incident,3,2 - Moyenne,Incidents,Logiciel Bureautique,Office365,VALENCE,TEXA SERVICES,,Téléphone,15,2,False,608,HD2_SUPPORT
Incident,4,2 - Moyenne,Incidents,Application métier,ITEX,ORLEANS,VOXENS,,Self Service,14,2,False,129,HD1_FRONT
Incident,5,3 - Faible,Incidents,Réseau,Mobile,-,GEOP,,Téléphone,14,2,False,102,HD1_FRONT
